Pain gris;9;1,7;47,3;4,5;39;1,7;0
Pain complet;11,4;1,9;41,9;6,7;35;2,6;0
Pain multicereales;9,9;3,1;44,4;4,2;50;2,1;0
Pain blanc;8,4;1,4;51,2;2,9;23;1;0
Baguette grise;9,6;9,3;45,7;3,8;76;1,3;0
Baguette blanche;8,5;1,3;50,5;2,2;27;1,1;0
Biscotte;12,3;6,1;73,6;4;31;2,6;0
Biscotte complete;13;3,2;73;9,1;27;2,1;0
Cracotte;10;3,6;73,7;4,4;42,3;1;0
Ciabatta;8,4;1,9;48;3,1;41;1,1;0
Flocons d'avoine;13,5;7;58,7;10;41;4,2;0
Muesli tendre enrichi (aux fruits);9,5;5,7;64,2;9,2;53;4,2;0
Cereales au miel, enrichies;8,8;3,4;75,4;6,1;232;10;0
Cereales au chocolat, enrichis;8,3;3,3;78;5;264;7,5;0
Cornflakes, enrichis;8;1;82,2;3;4;7;0
Ble;12,1;1,7;71,9;5,4;55;0;0
Pates blanches;12;1,5;71,3;2,6;31;2,5;0
Riz blanc ;7,4;1,1;76,5;1;11;0,6;0
Semoule de ble dure;11,7;1,4;71,2;3,8;16;2;0
Pomme de terre;2,2;0,3;15,1;1,2;6;0,4;13
Quinoa;13,6;4,7;64,6;7,2;57;6,3;0
Pates completes;12,9;2,9;63,6;9,3;39;3,9;0
Riz brun;7,7;2,4;72,2;3,1;18;2,6;0
Ble;12,1;1,7;71,9;5,4;55;0;0
Semoule de ble dure;11,7;1,4;71,2;3,8;16;2;0
Pomme de terre;2,2;0,3;15,1;1,2;6;0,4;13
Quinoa;13,6;4,7;64,6;7,2;57;6,3;0
Riz brun;7,7;2,4;72,2;3,1;18;2,6;0
Pates blanches;12;1,5;71,3;2,6;31;2,5;0
Frites precuites, graisse vegetale;4,5;7,1;38,3;0;18;0,8;0
Frites precuites, graisse vegetale;4,5;7,1;38,3;0;18;0,8;0
Croquettes precuites;3,1;10,9;25,9;2,6;39;1,4;5
Rosti precuit, au four;1,9;7,4;22,8;2;15;0,4;0
legumes moyenne Nubel;1,3;0;2,2;2,2;41;0,5;20
legumineuses deshydratees moyenne Nubel;22;1,7;44;21,2;98;7,1;0
melanges fruits agrumes moy Nubel;0,9;0;7,5;1,7;28;0,1;30
melange fruits frais moy Nubel;0,7;0;11,3;2,3;9;0,2;4
melange fruits exotiques moy Nubel;1;0;11,4;1,4;8;0,2;26
noix amandes non grille moy Nubel;21,1;50,1;6,9;12,9;252;4,1;0
Artichaut;2;0;9,5;1,5;53;1,5;8
Asperge;1;0;3;1,7;20;1;30
Aubergine;1;0;3;2,5;10;0,5;10
Brocoli;3;0;2;3,1;43;0,7;110
Carotte;0,4;0;6,7;3,2;30;0,3;4
Celeri vert;0,7;0;7,7;1,6;50;0,1;3
Celeri rave;2;0;5;4,9;59;0,7;12
Champignon;2,3;0;0,4;1,5;25;0,2;4
Chicon;1,7;0;2,2;2,2;15;0,2;2
Chou de Bruxelles;3,3;0,3;4,1;8,2;41;0,8;97
